Dato/klokkeslett,NO1,NO2,NO3,NO4,NO5
2023-07-10 Kl. 17-18,0.86760,1.23065,0.58805,0.29669,0.86760
2023-07-10 Kl. 18-19,0.86718,1.27653,0.55940,0.29727,0.86718
2023-07-10 Kl. 19-20,0.86718,1.28231,0.54349,0.29727,0.86718
2023-07-10 Kl. 20-21,0.86760,1.30083,0.53365,0.29727,0.86760
2023-07-10 Kl. 21-22,0.84128,1.33686,0.53509,0.29669,0.84128
2023-07-10 Kl. 22-23,0.79974,1.33425,0.53451,0.29576,0.79974
2023-07-10 Kl. 23-00,0.74173,1.33194,0.52468,0.29437,0.74173
2023-07-11 Kl. 00-01,0.78632,1.38968,0.51969,0.28952,0.78632
2023-07-11 Kl. 01-02,0.74493,1.29095,0.51868,0.28627,0.74493
2023-07-11 Kl. 02-03,0.73408,1.21380,0.51751,0.28546,0.73408
2023-07-11 Kl. 03-04,0.72031,1.14359,0.51868,0.28512,0.72031
2023-07-11 Kl. 04-05,0.73725,1.11334,0.51563,0.28616,0.73725
2023-07-11 Kl. 05-06,0.78546,1.14359,0.51100,0.28454,0.78546
2023-07-11 Kl. 06-07,0.80876,1.23175,0.52070,0.28778,0.80876
2023-07-11 Kl. 07-08,0.84785,1.28618,0.52143,0.28790,0.84785
2023-07-11 Kl. 08-09,0.85828,1.23681,0.52605,0.29345,0.85828
2023-07-11 Kl. 09-10,0.86797,1.23059,0.52330,0.29508,0.86797
2023-07-11 Kl. 10-11,0.86508,1.14084,0.51881,0.29959,0.86508
2023-07-11 Kl. 11-12,0.86797,1.00969,0.51404,0.29855,0.86797
2023-07-11 Kl. 12-13,0.81021,0.81021,0.50738,0.29589,0.81021
2023-07-11 Kl. 13-14,0.68804,0.68804,0.50680,0.29519,0.68804
2023-07-11 Kl. 14-15,0.68601,0.68601,0.49913,0.29218,0.68601
2023-07-11 Kl. 15-16,0.83786,0.89721,0.49334,0.28928,0.83786
2023-07-11 Kl. 16-17,0.85654,1.03314,0.49088,0.28859,0.85654
2023-07-11 Kl. 17-18,0.85524,1.14779,0.47409,0.28824,0.85524
2023-07-11 Kl. 18-19,0.86797,1.14779,0.44963,0.28685,0.86797
2023-07-11 Kl. 19-20,0.86536,1.14794,0.39404,0.28546,0.86536
2023-07-11 Kl. 20-21,0.83903,1.23045,0.39114,0.28338,0.83903
2023-07-11 Kl. 21-22,0.79834,1.29443,0.37058,0.28060,0.79834
2023-07-11 Kl. 22-23,0.78720,1.29443,0.34554,0.27643,0.78720
2023-07-11 Kl. 23-00,0.76563,1.29298,0.33830,0.27064,0.76563
2023-07-12 Kl. 00-01,0.66788,1.25638,0.31353,0.25082,0.66788
2023-07-12 Kl. 01-02,0.64036,1.17643,0.31038,0.24830,0.64036
2023-07-12 Kl. 02-03,0.58577,1.07239,0.30621,0.24497,0.58577
2023-07-12 Kl. 03-04,0.58105,1.03571,0.29805,0.23844,0.58105
2023-07-12 Kl. 04-05,0.57961,1.02740,0.29517,0.23614,0.57961
2023-07-12 Kl. 05-06,0.64553,1.05419,0.28586,0.22869,0.64553
2023-07-12 Kl. 06-07,0.68064,1.17628,0.30406,0.24325,0.68064
2023-07-12 Kl. 07-08,0.72376,1.17643,0.30850,0.24680,0.72376
2023-07-12 Kl. 08-09,0.74454,1.14519,0.33373,0.25093,0.74454
2023-07-12 Kl. 09-10,0.77005,1.04889,0.37442,0.25185,0.77005
2023-07-12 Kl. 10-11,0.77865,1.00820,0.40221,0.25173,0.77865
2023-07-12 Kl. 11-12,0.72749,0.85731,0.42099,0.24990,0.72749
2023-07-12 Kl. 12-13,0.54451,0.54451,0.42271,0.24979,0.54451
