Tidspunkt,solar_consumption,Verdi,total_consum
2024-01-03,0.0588405563030384,1104.2,1104.258840556303
2024-01-04,0.0590552777284749,1072.3,1072.3590552777284
2024-01-05,0.0614191666245448,1130.6,1130.6614191666245
2024-01-06,0.0611908335704348,1187.2,1187.2611908335705
2024-01-07,0.0596911110915231,993.2,993.2596911110916
2024-01-08,0.0607105556409794,1126.2,1126.260710555641
2024-01-09,0.0602816664613772,1218.3,1218.3602816664613
2024-01-10,0.0598186111310487,1181.7,1181.759818611131
2024-01-11,0.0581819447688749,1097.9,1097.958181944769
2024-01-12,0.0586469441186626,1131.9,1131.9586469441188
2024-01-13,0.0588608331745478,1066.4,1066.4588608331746
2024-01-14,0.0575188889633853,748.3,748.3575188889633
2024-01-15,0.0590327779063945,1078.1,1078.1590327779063
2024-01-16,0.1853986112400883,1139.5,1139.68539861124
2024-01-17,0.2885155370458959,1100.6000000000001,1100.888515537046
2024-01-18,0.2914891662076115,1149.8,1150.0914891662076
2024-01-19,0.2906102789565921,1039.9,1040.1906102789567
2024-01-20,0.2881344445049765,1168.1,1168.3881344445049
2024-01-21,0.2879833346232771,832.4,832.6879833346233
2024-01-22,0.3073858339339494,1004.2,1004.507385833934
2024-01-23,6.955729883629832,955.4,962.3557298836298
2024-01-24,7.462340777739889,952.0,959.4623407777399
2024-01-25,20.11106665525585,914.1,934.2110666552559
2024-01-26,1.6643027998507032,908.0,909.6643027998507
2024-01-27,25.013543994165953,893.6,918.613543994166
2024-01-28,19.76468964293599,611.7,631.464689642936
2024-01-29,37.747846568934634,882.2,919.9478465689347
2024-01-30,0.8512747157365084,923.8,924.6512747157365
2024-01-31,2.392182231880725,923.5,925.8921822318807
2024-02-01,38.219459128566086,858.7,896.9194591285661
2024-02-02,22.66594711411745,884.1,906.7659471141175
2024-02-03,51.368425075197635,812.6,863.9684250751976
2024-02-04,63.13266005087654,514.1,577.2326600508766
2024-02-05,50.58039916865527,863.0,913.5803991686553
2024-02-06,25.450546708889302,953.3,978.7505467088893
2024-02-07,2.7918460639193667,959.8,962.5918460639193
2024-02-08,2.3796277679502955,975.56,977.9396277679502
2024-02-09,3.9368397444486622,1023.9,1027.8368397444488
2024-02-10,21.08623626548797,1005.3,1026.386236265488
2024-02-11,9.435213052667677,663.3,672.7352130526676
2024-02-12,0.9492994481697675,1021.2,1022.1492994481698
2024-02-13,0.7772961100563404,959.7,960.4772961100564
2024-02-14,0.8999488968402145,942.4,943.2999488968402
2024-02-15,0.3992125000804664,947.3,947.6992125000804
2024-02-16,0.308075001463294,929.9,930.2080750014633
2024-02-17,1.1193391494452942,896.0,897.1193391494453
2024-02-18,0.3012327766045926,679.8,680.1012327766045
2024-02-19,0.9160550022497774,934.3,935.2160550022497
2024-02-20,0.9617385985329756,904.0,904.961738598533
2024-02-21,0.6865605572238559,891.9,892.5865605572238
2024-02-22,22.767687929794203,837.0,859.7676879297942
2024-02-23,47.187208930030465,829.8000000000001,876.9872089300305
2024-02-24,61.158900804817726,815.7,876.8589008048177
